YEAR,QUARTER,ID,RECESS1,RECESS2,RECESS3,RECESS4,RECESS5
2000,2,502,0.0,0.0,5.0,20.0,20.0
2000,2,506,1.0,4.0,4.0,5.0,6.0
2000,2,507,0.0,5.0,5.0,10.0,15.0
2000,2,508,5.0,10.0,15.0,15.0,15.0
2000,2,510,0.0,0.0,0.0,20.0,10.0
2000,2,512,0.0,10.0,10.0,10.0,10.0
2000,2,513,5.0,5.0,5.0,10.0,10.0
2000,3,20,0.0,0.0,0.0,5.0,5.0
2000,3,40,,,,,
2000,3,65,10.0,15.0,20.0,25.0,30.0
2000,3,84,1.0,2.0,10.0,15.0,20.0
2000,3,407,0.0,0.0,5.0,5.0,5.0
2000,3,420,5.0,5.0,10.0,10.0,10.0
2000,3,421,0.5,20.0,35.0,40.0,40.0
2000,3,423,1.0,1.0,4.0,6.0,8.0
2000,3,426,10.0,15.0,20.0,25.0,35.0
2000,3,428,10.0,15.0,20.0,20.0,25.0
2000,3,431,10.0,20.0,20.0,20.0,20.0
2000,3,433,0.0,0.0,5.0,10.0,10.0
2000,3,446,0.0,0.0,15.0,30.0,40.0
2000,3,456,5.0,10.0,15.0,15.0,15.0
2000,3,463,0.0,5.0,15.0,15.0,18.0
2000,3,464,2.0,3.0,5.0,10.0,10.0
2000,3,472,0.0,5.0,10.0,10.0,15.0
2000,3,475,5.0,5.0,10.0,10.0,15.0
2000,3,484,4.0,4.0,8.0,8.0,8.0
2000,3,485,10.0,10.0,10.0,10.0,10.0
2000,3,497,1.0,2.0,10.0,10.0,10.0
2000,3,498,,,,,
2000,3,499,3.0,3.0,15.0,20.0,20.0
2000,3,500,0.0,0.0,5.0,5.0,5.0
2000,3,501,1.0,15.0,20.0,25.0,25.0
2000,3,502,0.0,5.0,10.0,15.0,15.0
2000,3,504,5.0,15.0,20.0,22.5,25.0
2000,3,506,0.0,1.0,5.0,10.0,15.0
2000,3,507,0.0,10.0,15.0,15.0,15.0
2000,3,508,5.0,10.0,15.0,15.0,15.0
2000,3,510,0.0,0.0,30.0,30.0,30.0
2000,3,512,0.0,0.0,10.0,10.0,10.0
2000,4,20,0.0,0.0,0.0,0.0,0.0
2000,4,40,,,,,
2000,4,65,0.0,5.0,15.0,20.0,25.0
2000,4,84,1.0,10.0,15.0,20.0,20.0
2000,4,99,0.0,0.0,2.0,5.0,8.0
2000,4,407,0.0,5.0,5.0,5.0,5.0
2000,4,411,0.0,2.0,10.0,10.0,10.0
2000,4,420,5.0,5.0,10.0,10.0,10.0
2000,4,421,1.0,20.0,25.0,30.0,25.0
2000,4,423,1.0,1.0,5.0,12.0,17.0
2000,4,426,10.0,15.0,20.0,25.0,25.0
2000,4,428,10.0,15.0,20.0,20.0,20.0
2000,4,431,30.0,30.0,30.0,30.0,30.0
2000,4,433,0.0,10.0,20.0,20.0,20.0
2000,4,439,20.0,20.0,20.0,10.0,10.0
2000,4,446,0.0,0.0,20.0,35.0,45.0
2000,4,456,0.0,1.0,5.0,10.0,10.0
2000,4,463,0.0,10.0,15.0,18.0,22.0
2000,4,465,25.0,40.0,50.0,40.0,30.0
