YEAR,QUARTER,ID,EMP1,EMP2,EMP3,EMP4,EMP5,EMP6
2004,1,99,,,,,,
2004,1,411,130005.0,130232.0,130865.0,131479.0,132242.0,133064.0
2004,1,421,,,,,,
2004,1,423,,,,,,
2004,1,426,130005.0,130232.0,130524.0,131075.0,131532.0,131761.0
2004,1,428,130005.0,130295.0,130675.0,131125.0,131625.0,132185.0
2004,1,429,,,,,,
2004,1,431,130005.0,130216.0,130640.0,131095.0,131545.0,132146.0
2004,1,433,130005.0,130157.0,130787.0,131455.0,132046.0,132623.0
2004,1,446,130005.0,130393.0,130960.0,131771.0,132684.0,133570.0
2004,1,448,130005.0,130288.0,130688.0,131130.0,131572.0,132058.0
2004,1,456,130005.0,130528.0,131128.0,131581.0,132030.0,132555.0
2004,1,463,130005.0,130280.0,130755.0,131279.0,131803.0,132332.0
2004,1,483,130005.0,130167.0,130491.0,130881.0,131337.0,131827.0
2004,1,484,130005.0,130255.0,130698.0,131234.0,131834.0,132279.0
2004,1,485,130005.0,130196.0,130695.0,131095.0,131593.0,132094.0
2004,1,497,,,,,,
2004,1,502,130005.0,130415.0,130865.0,131465.0,132070.0,132770.0
2004,1,504,130005.0,130367.0,131190.0,131926.0,132576.0,133476.0
2004,1,506,130005.0,130280.0,130761.0,131751.0,132548.0,133371.0
2004,1,507,130005.0,130283.0,130711.0,131264.0,131891.0,132582.0
2004,1,510,130005.0,130525.0,131231.0,131998.0,132922.0,134145.0
2004,1,512,130004.0,130198.0,130307.0,130461.0,130666.0,131201.0
2004,1,516,130005.0,130368.0,130661.0,131002.0,131410.0,131851.0
2004,1,518,130005.0,130229.0,130627.0,131127.0,131648.0,132188.0
2004,1,519,130005.0,130313.0,130865.0,131883.0,132733.0,133465.0
2004,1,520,,,,,,
2004,1,521,130005.0,130183.0,130388.0,130752.0,131252.0,131741.0
2004,1,523,130005.0,130832.0,131559.0,132290.0,133025.0,133764.0
2004,1,524,,,,,,
2004,2,20,130327.0,130589.0,130703.0,130719.0,130860.0,130940.0
2004,2,65,,,,,,
2004,2,84,130362.0,131300.0,131825.0,132350.0,132875.0,
2004,2,99,,,,,,
2004,2,411,130327.0,130891.0,131526.0,132149.0,132879.0,133531.0
2004,2,420,,,,,,
2004,2,421,130327.0,131097.0,131772.0,132537.0,133317.0,134112.0
2004,2,426,130327.0,130488.0,131032.0,131488.0,131717.0,132013.0
2004,2,428,130327.0,130861.0,131227.0,131888.0,132457.0,133048.0
2004,2,429,130362.0,131132.0,131899.0,132597.0,133284.0,133974.0
2004,2,433,130327.0,130985.0,131452.0,131951.0,132482.0,133243.0
2004,2,446,130361.0,131100.0,131800.0,132500.0,133100.0,133800.0
2004,2,448,130362.0,131060.0,131502.0,131944.0,132431.0,132909.0
